,Unnamed: 0,label,split,original,cv2_faces,dlib_faces,cv2_new,dlib_new,dlib_new2
0,aagfhgtpmv.mp4,FAKE,train,vudstovrck.mp4,1,1,1,2,2
1,aapnvogymq.mp4,FAKE,train,jdubbvfswz.mp4,2,2,1,1,2
2,abarnvbtwb.mp4,REAL,train,,2,1,0,1,1
3,abofeumbvv.mp4,FAKE,train,atvmxvwyns.mp4,0,0,1,0,0
4,abqwwspghj.mp4,FAKE,train,qzimuostzz.mp4,2,1,1,1,1
5,acifjvzvpm.mp4,FAKE,train,kbvibjhfzo.mp4,2,1,1,1,1
6,acqfdwsrhi.mp4,FAKE,train,ccfoszqabv.mp4,2,1,1,1,1
7,acxnxvbsxk.mp4,FAKE,train,fjlyaizcwc.mp4,2,1,1,1,1
8,acxwigylke.mp4,FAKE,train,ffcwhpnpuw.mp4,1,1,1,1,1
9,aczrgyricp.mp4,FAKE,train,slwkmefgde.mp4,2,1,1,1,1
10,adhsbajydo.mp4,FAKE,train,fysyrqfguw.mp4,0,0,1,0,0
11,adohikbdaz.mp4,FAKE,train,qjlhemtkxk.mp4,3,1,1,1,1
12,adylbeequz.mp4,FAKE,train,dlpoieqvfb.mp4,1,1,2,1,1
13,aelfnikyqj.mp4,REAL,train,,3,1,1,1,1
14,aelzhcnwgf.mp4,FAKE,train,qzimuostzz.mp4,1,1,1,1,1
15,aettqgevhz.mp4,FAKE,train,proiippuup.mp4,1,1,0,1,1
16,aevrfsexku.mp4,FAKE,train,gxembgiarp.mp4,3,1,1,1,1
17,afoovlsmtx.mp4,REAL,train,,3,1,1,1,1
18,agdkmztvby.mp4,FAKE,train,iufotyxgzb.mp4,1,0,0,1,1
19,agqphdxmwt.mp4,FAKE,train,aytzyidmgs.mp4,2,1,1,0,1
20,agrmhtjdlk.mp4,REAL,train,,1,2,2,1,1
21,ahbweevwpv.mp4,FAKE,train,dkuayagnmc.mp4,1,1,2,1,1
22,ahdbuwqxit.mp4,FAKE,train,jomvcqqars.mp4,2,1,1,1,1
23,ahfazfbntc.mp4,FAKE,train,sunqwnmlkx.mp4,1,1,0,1,1
24,ahqqqilsxt.mp4,REAL,train,,2,1,1,1,1
25,aipfdnwpoo.mp4,FAKE,train,ygdgwyqyut.mp4,1,1,1,1,1
26,ajqslcypsw.mp4,REAL,train,,2,1,0,1,1
27,ajwpjhrbcv.mp4,FAKE,train,bzythlfnhq.mp4,4,1,1,1,1
28,aklqzsddfl.mp4,FAKE,train,lyvlnqduqg.mp4,0,1,1,1,1
29,aknbdpmgua.mp4,FAKE,train,yxyhvdlrgk.mp4,1,1,1,1,1
30,aknmpoonls.mp4,FAKE,train,swedbyuehz.mp4,1,1,1,1,1
31,akvmwkdyuv.mp4,FAKE,train,xlbnmndmku.mp4,2,1,1,1,1
32,akxoopqjqz.mp4,FAKE,train,meawmsgiti.mp4,1,1,0,1,1
33,akzbnazxtz.mp4,FAKE,train,ppdpgwyjgm.mp4,1,1,1,1,1
34,aladcziidp.mp4,FAKE,train,fewcljwqkr.mp4,1,1,1,1,1
35,alaijyygdv.mp4,FAKE,train,cppdvdejkc.mp4,2,1,0,1,1
36,alninxcyhg.mp4,FAKE,train,tqhbgzfwsf.mp4,2,1,1,1,1
37,altziddtxi.mp4,FAKE,train,meawmsgiti.mp4,1,1,0,1,1
38,alvgwypubw.mp4,FAKE,train,vcxckqbaya.mp4,2,1,1,1,1
39,amaivqofda.mp4,FAKE,train,xobhsemxmv.mp4,1,1,1,1,1
40,amowujxmzc.mp4,FAKE,train,xwcggrygwl.mp4,2,1,1,1,1
41,andaxzscny.mp4,FAKE,train,fysyrqfguw.mp4,0,0,1,0,0
42,aneclqfpbt.mp4,FAKE,train,xxsxktyvzt.mp4,1,1,1,1,1
43,anpuvshzoo.mp4,REAL,train,,0,1,0,1,1
44,aorjvbyxhw.mp4,FAKE,train,bulkxhhknf.mp4,4,1,1,1,1
45,apatcsqejh.mp4,FAKE,train,edyncaijwx.mp4,0,0,0,0,1
46,apgjqzkoma.mp4,FAKE,train,jkddywriuf.mp4,2,1,1,1,1
47,apogckdfrz.mp4,FAKE,train,uonshkejav.mp4,1,1,1,1,1
48,aqpnvjhuzw.mp4,FAKE,train,xngpzquyhs.mp4,2,1,1,1,1
49,arkroixhey.mp4,FAKE,train,fjlyaizcwc.mp4,1,1,1,1,1
